properties/label_type,properties/severity,GEN_ALIAS
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
NoCurbRamp,4.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,4.0,Mt. Baker/North Rainier
NoCurbRamp,,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,4.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,2.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
