Total,Neighborhood Name,Older_Adults_65_over,Children_under_18,GEN_ALIAS
12086,Alki/Admiral,2368,1789,Alki/Admiral
5803,North Delridge,584,530,North Delridge
9232,High Point,744,2366,High Point
5023,Riverview,449,1074,Riverview
13984,Roxhill/Westwood,1588,2362,Roxhill/Westwood
8152,Highland Park,1281,1490,Highland Park
4060,South Park,343,983,South Park
1181,Georgetown,154,115,Georgetown
3364,Duwamish/SODO,509,244,Duwamish/SODO
15610,South Beacon Hill/NewHolly,2596,3094,South Beacon Hill/NewHolly
9332,Beacon Hill,1790,1787,Beacon Hill
15302,North Beacon Hill/Jefferson Park,2450,1822,North Beacon Hill/Jefferson Park
15866,Rainier Beach,2306,3120,Rainier Beach
21374,Columbia City,2619,3956,Columbia City
11198,Seward Park,1871,2812,Seward Park
7179,Mt. Baker/North Rainier,1193,1351,Mt. Baker/North Rainier
11846,Madrona/Leschi,1901,2138,Madrona/Leschi
4256,Judkins Park,815,520,Judkins Park
21703,Central Area/Squire Park,2166,2448,Central Area/Squire Park
19295,First Hill,2224,671,First Hill
26728,Capitol Hill,1423,579,Capitol Hill
4773,North Capitol Hill,529,371,North Capitol Hill
8297,Miller Park,1060,1230,Miller Park
5844,Madison Park,1158,1335,Madison Park
10343,Montlake/Portage Bay,1290,1551,Montlake/Portage Bay
23248,University District,628,912,University District
27756,Ravenna/Bryant,3069,4711,Ravenna/Bryant
17479,Wedgwood/View Ridge,2702,3711,Wedgwood/View Ridge
11260,Laurelhurst/Sand Point,2131,2859,Laurelhurst/Sand Point
17288,Northgate/Maple Leaf,3095,2506,Northgate/Maple Leaf
17091,Olympic Hills/Victory Heights,2402,2846,Olympic Hills/Victory Heights
14587,Cedar Park/Meadowbrook,2757,2222,Cedar Park/Meadowbrook
15951,Broadview/Bitter Lake,3616,2910,Broadview/Bitter Lake
9666,Licton Springs,957,907,Licton Springs
27273,Greenwood/Phinney Ridge,3272,4303,Greenwood/Phinney Ridge
17511,Green Lake,2426,2521,Green Lake
10879,Haller Lake,1398,1987,Haller Lake
12723,North Beach/Blue Ridge,1997,2474,North Beach/Blue Ridge
14580,Whittier Heights,1000,2499,Whittier Heights
16166,Sunset Hill/Loyal Heights,2690,3124,Sunset Hill/Loyal Heights
11165,Ballard,925,1088,Ballard
18619,Fremont,1511,1700,Fremont
18434,Wallingford,1446,2287,Wallingford
28354,Cascade/Eastlake,2470,597,Cascade/Eastlake
13772,Magnolia,2481,3385,Magnolia
12104,Interbay,1156,1444,Interbay
45505,Queen Anne,5025,4314,Queen Anne
11298,Belltown,1096,204,Belltown
6300,Downtown Commercial Core,1016,175,Downtown Commercial Core
6546,Pioneer Square/International District,1555,393,Pioneer Square/International District
407486,Outside Villages,59750,74900,Outside Villages
8081,Aurora-Licton Springs,627,672,Licton Springs
2880,Greenwood-Phinney Ridge,225,173,Greenwood/Phinney Ridge
4395,Crown Hill,373,881,North Beach/Blue Ridge
4974,Upper Queen Anne,701,300,Queen Anne
5852,Eastlake,565,189,Montlake/Portage Bay
16724,23rd & Union-Jackson,2721,1950,Judkins Park
6966,North Beacon Hill,932,736,North Beacon Hill/Jefferson Park
8231,Columbia City,727,1794,Columbia City
2795,Admiral,609,551,Alki/Admiral
6946,Bitter Lake Village,1317,1188,Broadview/Bitter Lake
14362,Othello,2115,2665,Beacon Hill
6127,Westwood-Highland Park,606,1079,Westwood-Highland Park
4060,South Park,343,983,South Park
8536,Madison-Miller,590,735,First Hill
5355,Lake City,801,807,Olympic Hills/Victory Heights
4377,Roosevelt,285,393,Green Lake
7424,Wallingford,607,1139,Wallingford
6430,Rainier Beach,782,1625,Rainier Beach
8967,West Seattle Junction,1066,657,West Seattle Junction/Genesee Hill
4907,Morgan Junction,668,755,Fauntleroy/Seaview
3652,Green Lake,583,191,Green Lake
9547,Northgate,1688,1062,Northgate/Maple Leaf
7321,Fremont,429,501,Fremont
21365,Ballard,1638,2599,Ballard
7978,Mt Baker,1387,1577,Mt. Baker/North Rainier
11976,South Lake Union,915,322,Cascade/Eastlake
29410,University District,774,793,University District
12825,Uptown,1337,249,Queen Anne
42788,Downtown,5378,1021,Downtown Commercial Core
49217,First Hill/Capitol Hill,4290,1394,Capitol Hill
497,Greater Duwamish,75,28,Duwamish/SODO
108594,Council District 1,14684,18932,Council District 1
108053,Council District 2,16368,18861,Council District 2
108012,Council District 3,12794,10609,Council District 3
104299,Council District 4,10276,14380,Council District 4
106208,Council District 5,16800,16788,Council District 5
105404,Council District 6,13461,17677,Council District 6
101881,Council District 7,10521,6662,Council District 7
6145,Arbor Heights,1098,1407,Arbor Heights
15120,Fauntleroy/Seaview,2462,2746,Fauntleroy/Seaview
23800,West Seattle Junction/Genesee Hill,3112,3939,West Seattle Junction/Genesee Hill
